Date,Open,High,Low,Close,Volume,Change,Code
2022-12-08,58700,59200,58600,59200,12779480,0.005093378607809784,005930
2022-12-08,65200,65300,64500,64700,1262664,-0.004615384615384577,000270
2022-12-08,71200,73000,70600,72800,870927,0.031161473087818692,032830
2022-12-08,464500,466500,460500,466000,88485,0.01304347826086949,036570
2022-12-08,13600,13750,13350,13500,284398,-0.014598540145985384,225570
2022-12-08,709000,716000,693000,693000,292713,-0.021186440677966156,006400
2022-12-08,27700,27800,27200,27550,220616,-0.005415162454873612,000880
2022-12-08,78200,79800,78200,78800,3769573,-0.0012674271229404788,000660
2022-12-08,184000,186500,181500,185500,706472,0.01089918256130784,035420
2022-12-08,163500,163500,161000,162000,701414,-0.006134969325153339,005380
2022-12-08,290000,291000,284000,286500,576109,-0.012068965517241348,005490
2022-12-08,116500,118000,116000,117500,402429,0.012931034482758674,028260
2022-12-08,175500,177000,174000,176500,475935,0.011461318051575908,068270
2022-12-08,55900,56100,54900,55500,1364132,0.0,035720
2022-12-08,210000,210000,204000,206000,231088,-0.0072289156626506035,012330
2022-12-08,828000,835000,816000,827000,83790,-0.004813477737665495,207940
2022-12-08,79200,79700,78400,79600,301838,0.014012738853503182,003550
2022-12-08,50300,50500,49950,50200,746856,0.0,017670
2022-12-08,50500,51200,50200,50400,1869444,-0.007874015748031482,105560
2022-12-08,74300,74300,71600,72800,230211,-0.013550135501354976,009540
2022-12-08,682000,685000,665000,670000,248559,-0.013254786450662692,051910
